상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2018-04-29,01관,,,,,,,"24:20,  살인소설(디지털)",249
2018-05-01,01관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  10,000원","16:30,  어벤져스: 인피니티 워(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,249
2018-05-01,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  10,000원","15:30,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-01,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:00,  어벤져스: 인피니티 워(디지털),  10,000원","19:00,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-01,05관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  10,000원","17:00,  어벤져스: 인피니티 워(디지털),  10,000원","20:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,74
2018-05-01,06관,,"12:00,  어벤져스: 인피니티 워(디지털),  10,000원","15:00,  어벤져스: 인피니티 워(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,54
2018-05-01,07관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  10,000원","14:10,  챔피언(디지털),  10,000원","16:30,  챔피언(디지털),  10,000원","18:50,  챔피언(디지털),  10,000원","21:10,  챔피언(디지털),  10,000원",,74
2018-05-01,08관,"10:00,  챔피언(디지털),  7,000원","12:50,  챔피언(디지털),  10,000원","15:10,  챔피언(디지털),  10,000원","17:30,  챔피언(디지털),  10,000원","19:50,  챔피언(디지털),  10,000원",,,55
2018-05-01,09관,,"11:30,  어벤져스: 인피니티 워(디지털),  10,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  10,000원","20:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,64
2018-05-01,10관,"09:45,  그날, 바다(디지털),  7,000원","12:10,  당갈(디지털),  10,000원","15:20,  그날, 바다(디지털),  10,000원","17:45,  어벤져스: 인피니티 워(디지털),  10,000원",,,,35
2018-05-02,01관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  10,000원","16:30,  어벤져스: 인피니티 워(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,249
2018-05-02,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  10,000원","15:30,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-02,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:00,  어벤져스: 인피니티 워(디지털),  7,000원","19:00,  어벤져스: 인피니티 워(디지털),  8,000원","22:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,249
2018-05-02,05관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  7,500원",,"16:30,  챔피언(디지털),  10,000원","18:50,  챔피언(디지털),  10,000원","21:10,  챔피언(디지털),  7,000원",,74
2018-05-02,06관,,"11:30,  어벤져스: 인피니티 워(디지털),  7,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  10,000원","20:30,  어벤져스: 인피니티 워(디지털),  8,000원",,,54
2018-05-02,07관,"10:00,  챔피언(디지털),  7,000원","12:50,  챔피언(디지털),  10,000원","15:10,  챔피언(디지털),  10,000원","17:30,  챔피언(디지털),  10,000원","19:50,  챔피언(디지털),  6,000원","22:05,  챔피언(디지털),  8,000원",,74
2018-05-02,08관,,"12:00,  어벤져스: 인피니티 워(디지털),  8,000원","15:00,  어벤져스: 인피니티 워(디지털),  0원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,55
2018-05-02,09관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  10,000원","17:00,  어벤져스: 인피니티 워(디지털),  10,000원","20:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,64
2018-05-02,10관,,"12:20,  당갈(디지털),  4,000원",,"18:20,  챔피언(디지털),  9,000원","20:45,  어벤져스: 인피니티 워(디지털),  9,000원",,,35
2018-05-03,01관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  10,000원","16:30,  어벤져스: 인피니티 워(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,249
2018-05-03,02관,,"11:30,  어벤져스: 인피니티 워(디지털),  10,000원","14:30,  어벤져스: 인피니티 워(디지털),  8,000원","17:30,  어벤져스: 인피니티 워(디지털),  8,000원","20:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-03,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  6,000원","15:30,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-03,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:00,  어벤져스: 인피니티 워(디지털),  10,000원","19:00,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-03,05관,"09:30,  챔피언(디지털)","11:50,  챔피언(디지털),  10,000원","14:10,  챔피언(디지털),  4,000원","16:30,  챔피언(디지털),  10,000원","18:50,  챔피언(디지털),  10,000원","21:10,  챔피언(디지털),  7,000원",,74
2018-05-03,06관,"10:45,  어벤져스: 인피니티 워(디지털),  7,000원","13:45,  어벤져스: 인피니티 워(디지털),  10,000원","16:45,  어벤져스: 인피니티 워(디지털)","19:45,  어벤져스: 인피니티 워(디지털),  10,000원",,,,54
2018-05-03,07관,"10:00,  챔피언(디지털),  6,000원","12:50,  챔피언(디지털)","15:10,  챔피언(디지털)","17:30,  챔피언(디지털)","19:50,  챔피언(디지털),  10,000원","22:05,  챔피언(디지털)",,74
2018-05-03,08관,,"12:00,  어벤져스: 인피니티 워(디지털),  10,000원","15:00,  어벤져스: 인피니티 워(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,55
2018-05-03,09관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털)","17:00,  어벤져스: 인피니티 워(디지털),  10,000원","20:00,  어벤져스: 인피니티 워(디지털)",,,,64
2018-05-03,10관,"09:45,  얼리맨(디지털더빙)","11:40,  커다랗고 커다랗고 커다란 배(디지털더빙),  6,000원","13:30,  얼리맨(디지털더빙),  10,000원","15:30,  커다랗고 커다랗고 커다란 배(디지털더빙)","17:20,  그날, 바다(디지털),  7,000원","19:40,  그날, 바다(디지털),  10,000원","22:00,  그날, 바다(디지털),  10,000원",35
2018-05-04,01관,"10:40,  얼리맨(디지털더빙),  7,000원","12:40,  얼리맨(디지털더빙),  9,000원","14:40,  얼리맨(디지털더빙),  9,000원",,"18:45,  어벤져스: 인피니티 워(디지털),  8,000원","21:45,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-04,02관,,"11:30,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","13:20,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","15:10,  커다랗고 커다랗고 커다란 배(디지털더빙),  7,000원","17:00,  어벤져스: 인피니티 워(디지털),  11,000원","20:00,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-04,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  11,000원","18:30,  어벤져스: 인피니티 워(디지털),  11,000원","21:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-04,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  6,000원","16:00,  어벤져스: 인피니티 워(디지털),  11,000원","19:00,  어벤져스: 인피니티 워(디지털),  11,000원","22:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-04,05관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  9,000원","14:10,  챔피언(디지털),  11,000원","16:30,  챔피언(디지털),  11,000원","18:50,  챔피언(디지털),  11,000원","21:10,  챔피언(디지털),  11,000원",,74
2018-05-04,06관,"10:45,  어벤져스: 인피니티 워(디지털),  7,000원","13:45,  어벤져스: 인피니티 워(디지털),  9,000원",,"19:45,  어벤져스: 인피니티 워(디지털),  11,000원",,,,54
2018-05-04,07관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  11,000원","16:30,  어벤져스: 인피니티 워(디지털),  11,000원","19:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,,74
2018-05-04,08관,,"12:00,  어벤져스: 인피니티 워(디지털),  8,500원","15:00,  어벤져스: 인피니티 워(디지털),  8,500원","18:00,  어벤져스: 인피니티 워(디지털),  4,000원","21:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,55
2018-05-04,09관,,"11:30,  어벤져스: 인피니티 워(디지털),  11,000원","14:30,  어벤져스: 인피니티 워(디지털),  11,000원","17:30,  어벤져스: 인피니티 워(디지털),  11,000원","20:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,64
2018-05-04,10관,"09:50,  그날, 바다(디지털),  7,000원",,,"15:50,  그날, 바다(디지털),  8,000원","18:10,  챔피언(디지털),  11,000원","20:25,  챔피언(디지털),  11,000원",,35
2018-05-05,01관,"09:40,  얼리맨(디지털더빙),  6,000원","11:50,  얼리맨(디지털더빙),  11,000원","13:50,  얼리맨(디지털더빙),  9,000원","15:50,  얼리맨(디지털더빙),  11,000원","18:15,  어벤져스: 인피니티 워(디지털),  11,000원","21:15,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-05,02관,"09:50,  커다랗고 커다랗고 커다란 배(디지털더빙),  7,000원","11:35,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","13:30,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","15:20,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","17:15,  어벤져스: 인피니티 워(디지털),  11,000원","20:15,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-05,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  11,000원","18:30,  어벤져스: 인피니티 워(디지털),  11,000원","21:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-05,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  11,000원","16:00,  어벤져스: 인피니티 워(디지털),  11,000원","19:00,  어벤져스: 인피니티 워(디지털),  11,000원","22:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-05,05관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  11,000원","14:20,  챔피언(디지털),  11,000원","16:50,  챔피언(디지털),  11,000원","19:20,  챔피언(디지털),  11,000원","21:40,  챔피언(디지털),  11,000원",,74
2018-05-05,06관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  11,000원","17:00,  어벤져스: 인피니티 워(디지털),  11,000원","20:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,,54
2018-05-05,07관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  11,000원","16:30,  어벤져스: 인피니티 워(디지털),  11,000원","19:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,,74
2018-05-05,08관,,"12:00,  어벤져스: 인피니티 워(디지털),  11,000원","15:00,  어벤져스: 인피니티 워(디지털),  11,000원","18:00,  어벤져스: 인피니티 워(디지털),  11,000원","21:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,55
2018-05-05,09관,,"11:30,  어벤져스: 인피니티 워(디지털),  11,000원","14:30,  어벤져스: 인피니티 워(디지털),  11,000원","17:30,  어벤져스: 인피니티 워(디지털),  11,000원","20:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,64
2018-05-05,10관,"09:55,  그날, 바다(디지털),  7,000원","12:40,  얼리맨(디지털더빙),  11,000원","14:40,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","16:30,  얼리맨(디지털더빙),  11,000원","18:30,  챔피언(디지털),  11,000원","20:50,  그날, 바다(디지털),  11,000원",,35
2018-05-06,01관,"10:30,  어벤져스: 인피니티 워(디지털),  8,000원","13:30,  얼리맨(디지털더빙),  7,000원","15:25,  얼리맨(디지털더빙),  9,000원","17:20,  얼리맨(디지털더빙),  11,000원","19:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-06,02관,"09:50,  커다랗고 커다랗고 커다란 배(디지털더빙),  7,000원","11:35,  커다랗고 커다랗고 커다란 배(디지털더빙),  7,000원","13:40,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","15:30,  커다랗고 커다랗고 커다란 배(디지털더빙),  9,000원","17:15,  어벤져스: 인피니티 워(디지털),  11,000원","20:15,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-06,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  11,000원","18:30,  어벤져스: 인피니티 워(디지털),  11,000원","21:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-06,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  11,000원","16:00,  어벤져스: 인피니티 워(디지털),  11,000원","19:00,  어벤져스: 인피니티 워(디지털),  9,000원","22:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-06,05관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  11,000원","14:20,  챔피언(디지털),  11,000원","16:50,  챔피언(디지털),  11,000원","19:20,  챔피언(디지털),  11,000원","21:40,  챔피언(디지털),  11,000원",,74
2018-05-06,06관,"10:45,  어벤져스: 인피니티 워(디지털),  7,000원","13:45,  어벤져스: 인피니티 워(디지털),  11,000원","16:45,  어벤져스: 인피니티 워(디지털),  11,000원","19:45,  어벤져스: 인피니티 워(디지털),  11,000원",,,,54
2018-05-06,07관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  11,000원","17:00,  어벤져스: 인피니티 워(디지털),  11,000원","20:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,,74
2018-05-06,08관,,"12:00,  어벤져스: 인피니티 워(디지털)","15:00,  어벤져스: 인피니티 워(디지털),  11,000원","18:00,  어벤져스: 인피니티 워(디지털),  11,000원","21:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,55
2018-05-06,09관,,"11:30,  어벤져스: 인피니티 워(디지털),  11,000원","14:30,  어벤져스: 인피니티 워(디지털),  11,000원","17:30,  어벤져스: 인피니티 워(디지털),  11,000원","20:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,64
2018-05-06,10관,"10:00,  얼리맨(디지털더빙),  7,000원","12:15,  커다랗고 커다랗고 커다란 배(디지털더빙),  8,500원","14:15,  얼리맨(디지털더빙),  11,000원","16:20,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","18:20,  챔피언(디지털),  11,000원","20:40,  그날, 바다(디지털),  11,000원",,35
2018-05-07,01관,"09:40,  얼리맨(디지털더빙),  7,000원","11:50,  얼리맨(디지털더빙),  8,000원","13:50,  얼리맨(디지털더빙),  11,000원","15:50,  얼리맨(디지털더빙),  11,000원","18:15,  어벤져스: 인피니티 워(디지털),  11,000원","21:15,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-07,02관,"09:50,  커다랗고 커다랗고 커다란 배(디지털더빙),  7,000원","11:35,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","13:30,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","15:20,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","17:15,  어벤져스: 인피니티 워(디지털),  11,000원","20:15,  어벤져스: 인피니티 워(디지털),  11,000원",,249
2018-05-07,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  11,000원","15:30,  어벤져스: 인피니티 워(디지털),  11,000원","18:30,  어벤져스: 인피니티 워(디지털),  11,000원","21:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,249
2018-05-07,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  11,000원","16:00,  어벤져스: 인피니티 워(디지털),  11,000원","19:00,  어벤져스: 인피니티 워(디지털),  11,000원","22:00,  어벤져스: 인피니티 워(디지털),  9,000원",,,249
2018-05-07,05관,"09:30,  챔피언(디지털),  7,000원","11:50,  챔피언(디지털),  11,000원","14:20,  챔피언(디지털),  11,000원","16:50,  챔피언(디지털),  11,000원","19:20,  챔피언(디지털),  9,000원","21:40,  챔피언(디지털),  11,000원",,74
2018-05-07,06관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  11,000원","17:00,  어벤져스: 인피니티 워(디지털),  11,000원","20:00,  어벤져스: 인피니티 워(디지털),  11,000원",,,,54
2018-05-07,07관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  11,000원","16:30,  어벤져스: 인피니티 워(디지털),  11,000원","19:30,  어벤져스: 인피니티 워(디지털),  11,000원",,,,74
2018-05-07,08관,,"12:00,  어벤져스: 인피니티 워(디지털),  9,000원","15:00,  어벤져스: 인피니티 워(디지털),  11,000원","18:00,  어벤져스: 인피니티 워(디지털),  11,000원","21:00,  어벤져스: 인피니티 워(디지털)",,,55
2018-05-07,09관,,"11:30,  어벤져스: 인피니티 워(디지털),  11,000원","14:30,  어벤져스: 인피니티 워(디지털),  11,000원","17:30,  어벤져스: 인피니티 워(디지털),  11,000원","20:30,  어벤져스: 인피니티 워(디지털),  4,000원",,,64
2018-05-07,10관,"09:55,  그날, 바다(디지털),  7,000원","12:40,  얼리맨(디지털더빙),  8,500원","14:40,  커다랗고 커다랗고 커다란 배(디지털더빙),  11,000원","16:30,  얼리맨(디지털더빙),  9,000원","18:30,  챔피언(디지털),  11,000원","20:50,  그날, 바다(디지털),  11,000원",,35
2018-05-08,01관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  10,000원","16:30,  어벤져스: 인피니티 워(디지털)","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,249
2018-05-08,02관,"11:00,  어벤져스: 인피니티 워(디지털),  7,000원","14:00,  어벤져스: 인피니티 워(디지털),  10,000원","17:00,  어벤져스: 인피니티 워(디지털),  10,000원","20:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,249
2018-05-08,03관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  10,000원","15:30,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-08,04관,"10:00,  어벤져스: 인피니티 워(디지털),  7,000원","13:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:00,  어벤져스: 인피니티 워(디지털),  10,000원","19:00,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-08,05관,"09:30,  챔피언(디지털),  7,000원","11:45,  챔피언(디지털),  7,000원","14:00,  챔피언(디지털),  10,000원","16:15,  챔피언(디지털)","18:30,  챔피언(디지털)","20:45,  챔피언(디지털),  10,000원",,74
2018-05-08,06관,,"11:30,  어벤져스: 인피니티 워(디지털),  7,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  10,000원","20:30,  어벤져스: 인피니티 워(디지털)",,,54
2018-05-08,07관,"10:15,  챔피언(디지털),  7,000원","12:30,  챔피언(디지털),  10,000원","14:45,  챔피언(디지털),  10,000원","17:15,  챔피언(디지털)","19:30,  챔피언(디지털),  10,000원","21:50,  챔피언(디지털),  7,000원",,74
2018-05-08,08관,"11:00,  챔피언(디지털)","13:15,  챔피언(디지털)","15:30,  챔피언(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털)","21:00,  어벤져스: 인피니티 워(디지털),  8,000원",,,55
2018-05-08,09관,"09:50,  얼리맨(디지털더빙)","11:50,  얼리맨(디지털더빙),  8,000원","13:50,  얼리맨(디지털더빙),  5,000원","15:50,  얼리맨(디지털더빙)","18:10,  그날, 바다(디지털),  10,000원","20:30,  그날, 바다(디지털),  8,000원",,64
2018-05-08,10관,"09:40,  그날, 바다(디지털),  7,000원","12:00,  커다랗고 커다랗고 커다란 배(디지털더빙),  8,000원","13:50,  커다랗고 커다랗고 커다란 배(디지털더빙)","15:40,  커다랗고 커다랗고 커다란 배(디지털더빙),  10,000원","17:35,  커다랗고 커다랗고 커다란 배(디지털더빙)","19:20,  그날, 바다(디지털),  4,000원","21:40,  그날, 바다(디지털),  10,000원",35
2018-05-09,01관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털),  8,000원","15:30,  어벤져스: 인피니티 워(디지털),  10,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-09,02관,"09:30,  레슬러(디지털)","11:50,  레슬러(디지털),  6,000원","14:10,  레슬러(디지털),  10,000원","16:30,  레슬러(디지털),  10,000원","18:50,  레슬러(디지털),  10,000원","21:10,  레슬러(디지털)",,249
2018-05-09,03관,"10:00,  어벤져스: 인피니티 워(디지털),  5,000원","13:00,  어벤져스: 인피니티 워(디지털),  10,000원","16:00,  어벤져스: 인피니티 워(디지털),  10,000원","19:00,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-09,04관,"10:15,  레슬러(디지털),  7,000원","12:35,  레슬러(디지털)","14:55,  레슬러(디지털),  10,000원","17:15,  레슬러(디지털),  10,000원","19:35,  레슬러(디지털),  10,000원","21:55,  레슬러(디지털),  10,000원",,249
2018-05-09,05관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  6,000원","16:30,  어벤져스: 인피니티 워(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,74
2018-05-09,06관,,"11:30,  어벤져스: 인피니티 워(디지털),  10,000원","14:30,  어벤져스: 인피니티 워(디지털),  10,000원","17:30,  어벤져스: 인피니티 워(디지털),  7,000원","20:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,54
2018-05-09,07관,"11:00,  어벤져스: 인피니티 워(디지털)","14:00,  어벤져스: 인피니티 워(디지털),  8,000원","17:00,  어벤져스: 인피니티 워(디지털),  10,000원","20:00,  어벤져스: 인피니티 워(디지털),  10,000원",,,,74
2018-05-09,08관,"09:45,  챔피언(디지털),  7,000원","12:05,  챔피언(디지털),  10,000원","14:25,  챔피언(디지털)","16:45,  챔피언(디지털),  10,000원","19:10,  챔피언(디지털),  10,000원","21:40,  챔피언(디지털)",,55
2018-05-09,09관,"09:30,  얼리맨(디지털더빙)","11:25,  얼리맨(디지털더빙)","13:20,  레슬러(디지털),  10,000원","15:40,  레슬러(디지털)","18:00,  레슬러(디지털),  10,000원","20:20,  레슬러(디지털),  10,000원",,64
2018-05-09,10관,"09:35,  그날, 바다(디지털)","11:55,  커다랗고 커다랗고 커다란 배(디지털더빙)","13:40,  얼리맨(디지털더빙),  9,000원","15:35,  커다랗고 커다랗고 커다란 배(디지털더빙)","17:30,  그날, 바다(디지털),  10,000원","19:50,  그날, 바다(디지털),  10,000원","22:10,  그날, 바다(디지털),  8,000원",35
2018-05-10,01관,"09:30,  어벤져스: 인피니티 워(디지털),  7,000원","12:30,  어벤져스: 인피니티 워(디지털)","15:30,  어벤져스: 인피니티 워(디지털),  6,000원","18:30,  어벤져스: 인피니티 워(디지털),  10,000원","21:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,249
2018-05-10,02관,"09:30,  레슬러(디지털),  7,000원","11:50,  레슬러(디지털),  10,000원","14:10,  레슬러(디지털),  10,000원","16:30,  레슬러(디지털),  10,000원","18:50,  레슬러(디지털),  10,000원","21:10,  레슬러(디지털),  10,000원",,249
2018-05-10,03관,"10:00,  어벤져스: 인피니티 워(디지털)","13:00,  어벤져스: 인피니티 워(디지털)","16:00,  어벤져스: 인피니티 워(디지털)","19:00,  어벤져스: 인피니티 워(디지털),  10,000원","22:00,  어벤져스: 인피니티 워(디지털)",,,249
2018-05-10,04관,"10:30,  레슬러(디지털),  7,000원","12:50,  레슬러(디지털),  10,000원","15:10,  레슬러(디지털),  7,000원","17:30,  레슬러(디지털),  10,000원","19:50,  레슬러(디지털),  10,000원","22:10,  레슬러(디지털),  10,000원",,249
2018-05-10,05관,"09:45,  보리 vs 매켄로(디지털),  7,000원","12:00,  어벤져스: 인피니티 워(디지털)","15:20,  보리 vs 매켄로(디지털),  10,000원","18:00,  어벤져스: 인피니티 워(디지털),  10,000원","21:00,  보리 vs 매켄로(디지털),  0원",,,74
2018-05-10,06관,,"11:30,  어벤져스: 인피니티 워(디지털),  10,000원","14:30,  어벤져스: 인피니티 워(디지털),  8,000원","17:30,  어벤져스: 인피니티 워(디지털),  10,000원","20:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,54
2018-05-10,07관,"10:30,  어벤져스: 인피니티 워(디지털),  7,000원","13:30,  어벤져스: 인피니티 워(디지털),  6,000원","16:30,  어벤져스: 인피니티 워(디지털),  10,000원","19:30,  어벤져스: 인피니티 워(디지털),  10,000원",,,,74
2018-05-10,08관,"09:30,  챔피언(디지털),  5,000원","11:45,  챔피언(디지털),  10,000원","14:00,  챔피언(디지털),  6,000원","16:20,  챔피언(디지털),  10,000원","18:40,  챔피언(디지털),  10,000원","21:20,  챔피언(디지털),  10,000원",,55
2018-05-10,09관,"09:50,  씨 오브 트리스(디지털)","12:20,  레슬러(디지털),  8,000원","14:40,  씨 오브 트리스(디지털),  10,000원","17:00,  레슬러(디지털),  10,000원","19:20,  씨 오브 트리스(디지털),  5,000원","21:40,  레슬러(디지털),  10,000원",,64
